date,Q_sim_m3s,Q_obs_m3s,P_mm,ET_mm,S_total
1959-03-08,0.6598822453351894,0.3,0.0,3.252,182.88326912788665
1959-03-09,0.6388872185031317,0.294,0.0,3.252,181.67888511175272
1959-03-10,0.6213391582298251,0.288,0.0,3.252,180.47977753238487
1959-03-11,0.6263380046730745,0.291,6.7,3.252,182.21651666003044
1959-03-12,0.6277020622153143,0.288,1.8,3.252,179.4430180343528
1959-03-13,0.6218949179217628,0.282,0.0,3.252,177.66080383493863
1959-03-14,0.6127024742935477,0.277,0.0,3.252,176.48234642266726
1959-03-15,0.602329461380224,0.271,0.0,3.252,175.30928101089884
1959-03-16,0.5919944059954658,0.266,0.0,3.252,174.14167926546838
1959-03-17,0.5882583768018648,0.265,4.3,3.252,173.87030343328664
1959-03-18,0.5820456263860817,0.262,2.0,3.252,172.00375261128886
1959-03-19,0.5774081056863134,0.261,3.7,3.252,171.23337072539775
1959-03-20,0.5720623502518838,0.26,3.1,3.252,169.91301137646343
1959-03-21,0.5657219526001991,0.257,1.0,3.252,168.67036810619305
1959-03-22,0.5591791451602093,0.254,2.0,3.252,167.535936005141
1959-03-23,0.5996400554143071,0.265,11.5,3.252,173.41718546583166
1959-03-24,0.6611115260382109,0.273,6.0,3.252,173.78965012185856
1959-03-25,0.6944441696061887,0.267,0.0,3.252,169.05753233023003
1959-03-26,0.6969614916003763,0.262,0.0,3.252,166.31960110141233
1959-03-27,0.6833755190302646,0.257,0.0,3.252,165.2076329606822
1959-03-28,0.6625009090099943,0.252,0.0,3.252,164.10047339101664
1959-03-29,0.7684623010285648,0.291,26.0,3.252,182.33192575947004
1959-03-30,0.870364076326276,0.285,0.0,3.252,176.15420500712162
1959-03-31,0.9211249805315643,0.28,0.0,3.252,171.05475904350402
1959-04-01,0.9140022269797256,0.274,0.0,3.252,166.68686935130887
1959-04-02,0.8771170938106437,0.269,0.0,3.252,165.50933871663398
1959-04-03,0.8279284897564654,0.263,0.0,3.252,164.418346959494
1959-04-04,0.776336647152629,0.258,0.0,3.252,163.3310954221861
1959-04-05,0.7275789255910001,0.257,1.8,3.252,162.24784770170533
1959-04-06,0.6840876416754479,0.252,0.0,3.252,161.1688273537523
1959-04-07,0.6466667001929807,0.247,0.0,3.252,160.09422382649947
1959-04-08,0.615224657044017,0.242,0.0,3.252,159.0241975057909
1959-04-09,0.5892216585189431,0.239,1.2,3.252,157.95888400503827
1959-04-10,0.5679339385439997,0.235,0.0,3.252,156.89839781308586
1959-04-11,0.5506036622719551,0.23,0.0,3.252,155.8428353963274
1959-04-12,0.6116670127709247,0.249,16.5,3.252,166.05183650194465
1959-04-13,0.6649442895550881,0.244,0.0,3.252,160.89327424238655
1959-04-14,0.7460931517064787,0.267,11.5,3.252,166.27703892100797
1959-04-15,0.8071777776561326,0.269,2.3,3.252,163.1926881497379
1959-04-16,0.842781090458417,0.276,3.8,3.252,161.87976294357253
1959-04-17,0.8849965382246052,0.301,9.0,3.252,165.17097976311987
1959-04-18,0.8913422211383978,0.295,0.0,3.252,160.4093890154993
1959-04-19,0.860922572275081,0.289,0.0,3.252,157.24165040765192
1959-04-20,0.814118510560024,0.283,0.0,3.252,156.20982786486337
1959-04-21,0.7626531368585183,0.283,1.8,3.252,155.18125083704228
1959-04-22,0.7128772451233265,0.281,1.2,3.252,154.15620761177075
1959-04-23,0.689144309626414,0.294,7.0,3.252,156.32039169712758
1959-04-24,0.6875365879856253,0.307,5.7,3.252,157.00198567374147
1959-04-25,0.7989925819855669,1.097,22.8,3.252,172.09407680030344
1959-04-26,0.9184928289552367,0.377,3.5,3.252,168.95893220739634
1959-04-27,0.9850346730698142,0.37,0.0,3.252,163.57554383567185
1959-04-28,0.9870569869866541,0.362,0.0,3.252,159.0406734111483
1959-04-29,0.9512512745476434,0.369,3.0,3.252,157.6313507082707
1959-04-30,0.927017576770074,0.401,8.5,3.252,160.9824944805156
1959-05-01,1.0430432292646243,4.468,28.5,3.252,180.83094282968926
1959-05-02,1.2570738539869946,4.583,19.0,3.252,190.2290654330002
1959-05-03,1.5774500353733623,9.317,27.7,3.252,206.374045582657
1959-05-04,1.8700764245758776,1.884,9.0,3.252,205.29693769666795
1959-05-05,2.1051212978278793,3.39,12.2,3.252,207.93674152757006
1959-05-06,2.239386297545698,0.71,5.3,3.252,205.05813342063038
1959-05-07,2.279990104845803,0.752,6.0,3.252,203.70725977296144
1959-05-08,2.2767681728303897,2.557,11.0,3.252,207.16388486617376
1959-05-09,2.276353250981496,4.232,14.5,3.252,213.46154836277378
1959-05-10,2.212170331394709,0.832,0.0,3.252,206.98530394796003
1959-05-11,2.0765697119448623,0.816,0.0,3.252,201.67653900836882
1959-05-12,1.8857505498370788,0.799,0.0,3.252,197.15761509736694
1959-05-13,1.6764792239830437,0.783,0.0,3.252,195.32351408589665
1959-05-14,1.475014619875058,0.768,0.0,3.252,194.2079094877611
1959-05-15,1.294074515621635,0.758,0.8,3.252,193.08978091191875
1959-05-16,1.1384359137558797,0.742,0.0,3.252,191.9700859561227
1959-05-17,1.0084396655440302,0.739,2.0,3.252,190.84964398490783
1959-05-18,0.9021399020492489,0.741,3.2,3.252,189.72915669854467
1959-05-19,0.8165866928092226,0.727,0.0,3.252,188.60922561942982
1959-05-20,0.7485618658992635,0.716,0.7,3.252,187.49036695825907
1959-05-21,0.6949758459315976,0.707,1.2,3.252,186.37302425297665
1959-05-22,0.672050666362036,0.721,6.6,3.252,188.1030654076115
1959-05-23,0.6475866505481394,0.71,0.8,3.252,184.72148680608575
1959-05-24,0.6242484399391668,0.696,0.0,3.252,183.60996448012756
1959-05-25,0.6032931443399016,0.682,0.0,3.252,182.5009991281944
1959-05-26,0.5851585443482074,0.669,0.0,3.252,181.39483096161035
1959-05-27,0.6149147057224615,0.693,11.2,3.252,187.0467233759676
1959-05-28,0.6534680071023291,0.694,3.5,3.252,185.3480954356482
1959-05-29,0.6713469354740151,0.685,1.2,3.252,181.93199766422057
1959-05-30,0.6671325799486703,0.671,0.0,3.252,179.6408773361477
1959-05-31,0.8818941909745346,5.495,43.8,3.252,213.008384936122
1959-06-01,1.1108226666928305,0.727,2.2,3.252,206.8933277649601
1959-06-02,1.2843523941867665,0.745,4.0,3.252,203.74088863761102
1959-06-03,1.367018784703101,0.735,0.7,3.252,198.56998609427353
1959-06-04,1.3598160616646802,0.721,0.0,3.252,193.67180584288195
1959-06-05,1.4543167883831147,7.9,30.3,3.252,215.1848771596978
1959-06-06,1.560546123903563,0.819,7.0,3.252,214.25648448961806
1959-06-07,1.7017550509771677,5.437,17.5,3.252,222.83141268114485
1959-06-08,1.775676635779417,0.85,0.0,3.252,215.85397715266032
1959-06-09,1.7594304557074834,0.833,0.0,3.252,210.19433093891053
1959-06-10,1.66480070092293,0.816,0.0,3.252,205.42654103521056
1959-06-11,1.5377692681436856,0.83,4.0,3.252,204.66232154296435
1959-06-12,1.5746720506439043,10.188,34.0,3.252,229.39736795629838
1959-06-13,1.623265771106119,0.875,1.5,3.252,223.4564740472303
1959-06-14,1.618717655170117,0.857,0.0,3.252,217.47457835554764
1959-06-15,1.5529461682633157,0.845,0.5,3.252,212.90506219879808
1959-06-16,1.4436356079312707,0.84,1.5,3.252,209.80314082849344
1959-06-17,1.3145253741245584,0.823,0.0,3.252,207.83610479304554
1959-06-18,1.3932325596580777,11.611,39.8,3.252,237.71914969932897
1959-06-19,1.5205139053048655,0.914,6.0,3.252,235.15244996935604
1959-06-20,1.6458721623672143,2.229,9.2,3.252,236.21745861825943
1959-06-21,1.7025583317614141,0.951,1.0,3.252,230.6027951757174
1959-06-22,1.6750418974910806,0.932,0.0,3.252,225.1666173167275
1959-06-23,1.5766674106476077,0.913,0.0,3.252,220.52804387737555
1959-06-24,1.4437838945714905,0.895,0.0,3.252,218.5314140715069
1959-06-25,1.3042345354231344,0.877,0.0,3.252,217.3113894352704
1959-06-26,1.172735279353639,0.859,0.0,3.252,216.08979680585247
1959-06-27,1.0561079852589756,0.861,3.0,3.252,214.8674068472552
1959-06-28,0.9823925243279961,0.891,7.8,3.252,217.5102562250516
1959-06-29,0.9404625582300796,0.907,5.4,3.252,217.65059655288582
1959-06-30,0.8901673605557344,0.889,0.0,3.252,213.1319538152501
1959-07-01,0.8380416587766913,0.871,0.0,3.252,211.71328709875013
1959-07-02,0.7891932913979932,0.854,0.0,3.252,210.49194794261572
1959-07-03,0.7459457091999623,0.836,0.0,3.252,209.27216849854352
1959-07-04,0.709014089375234,0.82,0.0,3.252,208.05429406756053
1959-07-05,0.6972278361368595,0.831,6.6,3.252,209.68411102756357
1959-07-06,0.6801703524951291,0.817,0.5,3.252,206.2025484035197
1959-07-07,0.6617227916150444,0.805,1.0,3.252,204.9912268738539
1959-07-08,0.6439700183524946,0.793,1.0,3.252,203.78260195261132
1959-07-09,0.6406630507108972,0.798,5.5,3.252,204.48746663772218
1959-07-10,0.7074207022213446,0.841,15.0,3.252,213.04058292605862
1959-07-11,0.7730567757760072,0.835,2.0,3.252,209.4250519983952
1959-07-12,0.8358550177276929,0.85,6.3,3.252,210.02769487366533
1959-07-13,0.9435258365190234,1.568,15.0,3.252,217.9690544365027
1959-07-14,1.076386633678802,1.107,10.8,3.252,221.4170979904568
1959-07-15,1.163231798055598,0.931,1.0,3.252,216.33580057395756
1959-07-16,1.1813160875562458,0.913,0.0,3.252,211.26511930905707
1959-07-17,1.1397193841906064,0.896,0.3,3.252,207.29369052535813
1959-07-18,1.0710586232649026,0.878,0.0,3.252,206.0871048941644
1959-07-19,0.9941629514121912,0.866,1.0,3.252,204.88135747263797
1959-07-20,0.9192928513495251,0.851,0.5,3.252,203.6769367752342
1959-07-21,0.851502000865311,0.834,0.0,3.252,202.47426376928553
1959-07-22,0.7927771760291463,0.817,0.0,3.252,201.2737018310445
1959-07-23,0.743380077928834,0.809,2.1,3.252,200.07556521126753
1959-07-24,0.7026724885380244,0.794,0.5,3.252,198.88012623386788
1959-07-25,0.6696105000351771,0.779,0.0,3.252,197.68762141763517
1959-07-26,0.6430295933929988,0.771,2.5,3.252,196.49825668252277
1959-07-27,0.6646156096231236,0.789,10.8,3.252,201.7273045316754
1959-07-28,0.6880163502029188,0.781,2.0,3.252,198.71196243825477
1959-07-29,0.6884416595447903,0.765,0.0,3.252,194.91547550437127
1959-07-30,0.6812388589895153,0.764,4.0,3.252,194.3727692985624
1959-07-31,0.6683837842306356,0.759,3.1,3.252,192.99220083376878
1959-08-01,0.6515578862260564,0.744,0.0,3.252,191.57993175932614
1959-08-02,0.8253820696512975,3.567,37.0,3.252,219.09402920858417
1959-08-03,1.053210693974911,0.887,9.0,3.252,219.3774850147753
1959-08-04,1.3214282117519975,4.392,18.0,3.252,227.82920082377655
1959-08-05,1.5116523378051403,0.878,0.7,3.252,221.01052200101674
1959-08-06,1.5906770715989758,0.86,0.0,3.252,214.97038419689017
1959-08-07,1.5686873732428106,0.843,0.0,3.252,209.93120304695728
1959-08-08,1.4744856001574917,0.829,0.5,3.252,206.0429555090663
1959-08-09,1.3511850938130283,0.813,0.0,3.252,204.84887407394882
1959-08-10,1.223126398591509,0.798,0.3,3.252,203.65419051122382
1959-08-11,1.1030896228573754,0.786,0.7,3.252,202.45961819070084
1959-08-12,0.9969172549729935,0.776,1.0,3.252,201.26576898713887
1959-08-13,0.9064385103761528,0.77,2.0,3.252,200.07316833199044
1959-08-14,0.8312884758802008,0.754,0.0,3.252,198.8822680102835
1959-08-15,0.7700149458672688,0.739,0.0,3.252,197.69345704082912
