date,Q_sim_m3s,Q_obs_m3s,P_mm,Period
1950-07-10,1.1920279381327614,1.684,1.0,Calibration
1950-07-11,1.491346448799684,1.661,1.6,Calibration
1950-07-12,1.6825795909189234,1.639,1.8,Calibration
1950-07-13,2.5565774183743954,1.622,2.8,Calibration
1950-07-14,0.9959739899043303,1.589,0.0,Calibration
1950-07-15,6.025116430577536,1.596,7.5,Calibration
1950-07-16,1.5077775435074612,1.57,1.0,Calibration
1950-07-17,0.8129695356473013,1.538,0.0,Calibration
1950-07-18,0.7210656407195676,1.508,0.0,Calibration
1950-07-19,0.6865388932809691,1.477,0.0,Calibration
1950-07-20,0.6551230866133132,1.448,0.0,Calibration
1950-07-21,0.6230614486060669,1.419,0.0,Calibration
1950-07-22,0.590706462007245,1.39,0.0,Calibration
1950-07-23,0.5585649951869454,1.363,0.0,Calibration
1950-07-24,0.5270252835827683,1.335,0.0,Calibration
1950-07-25,0.4963662303548123,1.309,0.0,Calibration
1950-07-26,0.46678129194252843,1.283,0.0,Calibration
1950-07-27,0.43839831991231404,1.257,0.0,Calibration
1950-07-28,0.4112951208728833,1.232,0.0,Calibration
1950-07-29,3.5374941384727974,1.216,4.8,Calibration
1950-07-30,18.410898394047766,1.235,21.8,Calibration
1950-07-31,7.319069083724344,1.237,6.8,Calibration
1950-08-01,5.097732937491438,1.238,5.8,Calibration
1950-08-02,1.0020007505257054,1.213,0.0,Calibration
1950-08-03,21.14419507223646,3.308,25.3,Calibration
1950-08-04,22.464552918535613,5.927,24.0,Calibration
1950-08-05,3.1262838636317536,1.267,0.0,Calibration
1950-08-06,0.7882911195098338,1.241,0.0,Calibration
1950-08-07,5.264590969588239,1.265,6.8,Calibration
1950-08-08,6.400078484762579,1.294,7.5,Calibration
1950-08-09,2.6745149882319894,1.29,3.0,Calibration
1950-08-10,1.0796833188785748,1.271,1.0,Calibration
1950-08-11,7.966443008900629,1.308,9.5,Calibration
1950-08-12,1.528026480020798,1.282,0.0,Calibration
1950-08-13,6.806623442567687,1.311,8.5,Calibration
1950-08-14,1.862335186355336,1.297,1.8,Calibration
1950-08-15,9.572566240263203,1.69,11.2,Calibration
1950-08-16,5.151501799031304,1.345,5.3,Calibration
1950-08-17,18.60663425018851,5.607,21.7,Calibration
1950-08-18,2.881786482988492,1.355,0.0,Calibration
1950-08-19,3.9096693941641907,1.365,4.8,Calibration
1950-08-20,1.1311952592379944,1.342,0.5,Calibration
1950-08-21,1.4139357705283806,1.329,2.0,Calibration
1950-08-22,0.8245728571460847,1.302,0.0,Calibration
1950-08-23,8.84514708346222,1.468,10.79,Calibration
1950-08-24,14.35534048123235,3.605,16.2,Calibration
1950-08-25,6.9792512093658425,1.403,6.8,Calibration
1950-08-26,1.4750779224282335,1.378,0.5,Calibration
1950-08-27,11.211623002236129,3.018,13.5,Calibration
1950-08-28,2.0365504919281037,1.387,0.0,Calibration
1950-08-29,0.9176475593423189,1.364,0.7,Calibration
1950-08-30,7.599333800556329,1.399,9.2,Calibration
1950-08-31,12.154050445527895,3.084,13.8,Calibration
1950-09-01,16.7341349604324,5.388,18.5,Calibration
1950-09-02,2.6884389648081926,1.442,0.0,Calibration
1950-09-03,0.9652609750065216,1.413,0.0,Calibration
1950-09-04,0.7929541018076461,1.385,0.0,Calibration
1950-09-05,0.7576099375139949,1.357,0.0,Calibration
1950-09-06,8.687004018502058,1.619,10.7,Calibration
1950-09-07,2.102250320177693,1.378,1.7,Calibration
1950-09-08,23.75937591464591,7.213,27.5,Calibration
1950-09-09,3.5172293095383864,1.387,0.0,Calibration
1950-09-10,0.9769354291319685,1.359,0.0,Calibration
1950-09-11,0.7255599603713785,1.332,0.0,Calibration
1950-09-12,0.6824100519248512,1.305,0.0,Calibration
1950-09-13,0.6535119506640344,1.279,0.0,Calibration
1950-09-14,0.6240290970900284,1.253,0.0,Calibration
1950-09-15,0.5936450834674969,1.228,0.0,Calibration
1950-09-16,0.562952358558599,1.204,0.0,Calibration
1950-09-17,0.5324509460305705,1.18,0.0,Calibration
1950-09-18,0.5025107582551395,1.156,0.0,Calibration
1950-09-19,4.826611956766291,1.158,6.3,Calibration
1950-09-20,1.026172857457126,1.137,0.5,Calibration
1950-09-21,0.5090955878551402,1.114,0.0,Calibration
1950-09-22,0.44360483549069385,1.092,0.0,Calibration
1950-09-23,1.7524064751126704,1.08,2.8,Calibration
1950-09-24,0.5873256479187374,1.058,0.0,Calibration
1950-09-25,0.4187549584172201,1.037,0.0,Calibration
1950-09-26,0.3880719539518405,1.016,0.0,Calibration
1950-09-27,9.560565408588502,1.027,12.0,Calibration
1950-09-28,6.086294976672014,1.029,6.6,Calibration
1950-09-29,5.133930492802681,1.032,6.0,Calibration
1950-09-30,0.9824873320222478,1.011,0.0,Calibration
